,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,language,duration,imdb_score,comb
0,Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Thriller,insidious: the last key,English,103.0,6.3,Lin Shaye Angus Sampson Leigh Whannell Adam Robitel Horror Thriller
1,Christopher Radcliff (director/screenplay); Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Drama Mystery,the strange ones,English,14.0,6.9,Lauren Wolkstein (director); Alex Pettyfer James Freedson-Jackson Emily Althaus Christopher Radcliff (director/screenplay); Lauren Wolkstein Drama Mystery
2,Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller Mystery,the commuter,English,104.0,6.4,Liam Neeson Vera Farmiga Patrick Wilson Jaume Collet-Serra Action Thriller Mystery
3,Babak Najafi,Taraji P. Henson,Jahi Di'Allo Winston,Billy Brown,Thriller Action Crime,proud mary,English,88.0,5.5,Taraji P. Henson Jahi Di'Allo Winston Billy Brown Babak Najafi Thriller Action Crime
4,Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action Crime Thriller,acts of violence,English,86.0,5.6,Bruce Willis Cole Hauser Shawn Ashmore Brett Donowho Action Crime Thriller
5,Trudie Styler,Alex Lawther,Abigail Breslin,AnnaSophia Robb,Comedy Drama,freak show,English,91.0,6.7,Alex Lawther Abigail Breslin AnnaSophia Robb Trudie Styler Comedy Drama
6,Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,English,93.0,5.7,Jemaine Clement Elliott Gould Ingrid Michaelson Sam Hoffman Comedy
7,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,War Drama Action History,12 strong,English,130.0,6.4,Chris Hemsworth Michael Shannon Michael Peña Nicolai Fuglsig War Drama Action History
8,Christian Gudegast,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,Crime Thriller Action,den of thieves,English,140.0,6.9,Gerard Butler Pablo Schreiber O'Shea Jackson Jr. Christian Gudegast Crime Thriller Action
9,Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama,forever my girl,English,108.0,7.6,Alex Roe Jessica Rothe John Benjamin Hickey Bethany Ashton Wolf Romance Drama
10,Jesse Keller,Carr Cavender,Molly Beucher,Connor Sullivan,Drama Thriller,thane of east county,English,90.0,4.0,Carr Cavender Molly Beucher Connor Sullivan Jesse Keller Drama Thriller
11,Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction Action Adventure Thriller,maze runner: the death cure,English,143.0,7.1,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Wes Ball Science Fiction Action Adventure Thriller
12,Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,English,93.0,6.8,Dakota Fanning Toni Collette Alice Eve Ben Lewin Comedy Drama
13,The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Horror Thriller,winchester,English,100.0,5.9,Helen Mirren Jason Clarke Sarah Snook The Spierig Brothers Horror Thriller
14,Sebastián Lelio,Daniela Vega,Francisco Reyes Morandé,unknown,Drama,a fantastic woman,Spanish,104.0,7.0,Daniela Vega Francisco Reyes Morandé unknown Sebastián Lelio Drama
15,Mario Van Peebles,Mario Van Peebles,Ryan Guzman,Columbus Short,Action Thriller,armed,English,120.0,4.3,Mario Van Peebles Ryan Guzman Columbus Short Mario Van Peebles Action Thriller
16,Julius Onah,Gugu Mbatha-Raw,Elizabeth Debicki,Aksel Hennie,Horror Mystery Science Fiction,the cloverfield paradox,English,102.0,5.6,Gugu Mbatha-Raw Elizabeth Debicki Aksel Hennie Julius Onah Horror Mystery Science Fiction
17,Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Comedy Thriller,bad apples,English,100.0,0.0,Brea Grant Graham Skipper Aly Fitzgerald Bryan Coyne Comedy Thriller
18,Will Gluck,Rose Byrne,Domhnall Gleeson,Sam Neill,Animation Adventure Family,peter rabbit,English,93.0,6.7,Rose Byrne Domhnall Gleeson Sam Neill Will Gluck Animation Adventure Family
19,R. Balki,Akshay Kumar,Radhika Apte,unknown,Comedy Drama,pad man,Hindi,140.0,7.4,Akshay Kumar Radhika Apte unknown R. Balki Comedy Drama
20,James Foley,Dakota Johnson,Jamie Dornan,Eric Johnson,Drama Romance,fifty shades freed,English,105.0,6.7,Dakota Johnson Jamie Dornan Eric Johnson James Foley Drama Romance
21,Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Drama Thriller,the 15:17 to paris,English,94.0,5.4,Anthony Sadler Alek Skarlatos Spencer Stone Clint Eastwood Drama Thriller
22,Brian Crano,Rebecca Hall,Dan Stevens,Gina Gershon,Comedy Romance Drama,permission,English,99.0,5.1,Rebecca Hall Dan Stevens Gina Gershon Brian Crano Comedy Romance Drama
23,Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits,English,94.0,5.8,Emily Browning Adam Horowitz Mary-Louise Parker Alex Ross Perry Drama
24,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis",Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Science Fiction,black panther,English,135.0,7.4,"Chadwick Boseman Michael B. Jordan Lupita Nyong'o Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis Action Adventure Science Fiction"
25,Tim Hunter,Tim Hunter (director); Nicolas Cage,Robin Tunney,unknown,Thriller Mystery,looking glass,English,103.0,4.8,Tim Hunter (director); Nicolas Cage Robin Tunney unknown Tim Hunter Thriller Mystery
26,Mark Pellington,Jon Hamm,Catherine Keener,John Ortiz,Drama,nostalgia,English,115.0,5.4,Jon Hamm Catherine Keener John Ortiz Mark Pellington Drama
27,Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Action Drama Adventure,samson,English,110.0,5.7,Taylor James Jackson Rathbone Billy Zane Bruce Macdonald Action Drama Adventure
28,"John Francis Daley, Jonathan Goldstein",Jason Bateman,Rachel McAdams,Billy Magnussen,Mystery Comedy Crime,game night,English,100.0,6.8,"Jason Bateman Rachel McAdams Billy Magnussen John Francis Daley, Jonathan Goldstein Mystery Comedy Crime"
29,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Science Fiction Horror,annihilation,English,115.0,6.4,Natalie Portman Jennifer Jason Leigh Gina Rodriguez Alex Garland Science Fiction Horror
30,Michael Sucsy,Angourie Rice,Justice Smith,Debby Ryan,Romance Fantasy,every day,English,97.0,7.2,Angourie Rice Justice Smith Debby Ryan Michael Sucsy Romance Fantasy
31,David Freyne,Elliot Page,Sam Keeley,Tom Vaughan-Lawlor,Horror Drama Science Fiction,the cured,English,95.0,5.5,Elliot Page Sam Keeley Tom Vaughan-Lawlor David Freyne Horror Drama Science Fiction
32,Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Thriller Mystery,red sparrow,English,140.0,6.5,Jennifer Lawrence Joel Edgerton Matthias Schoenaerts Francis Lawrence Thriller Mystery
33,Eli Roth,Bruce Willis,Vincent D'Onofrio,Elisabeth Shue,Action Crime Thriller Drama,death wish,English,107.0,6.2,Bruce Willis Vincent D'Onofrio Elisabeth Shue Eli Roth Action Crime Thriller Drama
34,Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Drama Mystery Romance,the vanishing of sidney hall,English,117.0,6.7,Logan Lerman Elle Fanning Michelle Monaghan Shawn Christensen Drama Mystery Romance
35,Usher Morgan,Elyse Price,Katie Vincent,Joel Bernard,Thriller Action Crime Drama Mystery,pickings,English,103.0,5.9,Elyse Price Katie Vincent Joel Bernard Usher Morgan Thriller Action Crime Drama Mystery
36,Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Adventure Science Fiction Family Fantasy,a wrinkle in time,English,109.0,5.1,Storm Reid Oprah Winfrey Reese Witherspoon Ava DuVernay Adventure Science Fiction Family Fantasy
37,Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,Comedy Action Crime,gringo,English,111.0,5.9,David Oyelowo Charlize Theron Joel Edgerton Nash Edgerton Comedy Action Crime
38,Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Drama Thriller,thoroughbreds,English,92.0,6.4,Olivia Cooke Anya Taylor-Joy Anton Yelchin Cory Finley Drama Thriller
39,Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Horror Thriller,the strangers: prey at night,English,86.0,5.7,Christina Hendricks Martin Henderson Bailee Madison Johannes Roberts Horror Thriller
40,Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Action Adventure Crime Thriller,the hurricane heist,English,103.0,5.7,Toby Kebbell Maggie Grace Ryan Kwanten Rob Cohen Action Adventure Crime Thriller
41,Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider,English,118.0,6.4,Alicia Vikander Dominic West Walton Goggins Roar Uthaug Action Adventure Fantasy
42,Greg Berlanti,Nick Robinson,Josh Duhamel,Jennifer Garner,Comedy Drama Romance,"love, simon",English,110.0,8.0,Nick Robinson Josh Duhamel Jennifer Garner Greg Berlanti Comedy Drama Romance
43,Erwin brothers,J. Michael Finley,Madeline Carroll,Trace Adkins,Music Drama,i can only imagine,English,110.0,7.5,J. Michael Finley Madeline Carroll Trace Adkins Erwin brothers Music Drama
44,José Padilha,Rosamund Pike,Daniel Brühl,Eddie Marsan,Family Drama,entebbe,Hebrew,80.0,7.0,Rosamund Pike Daniel Brühl Eddie Marsan José Padilha Family Drama
45,Laurie Collyer,Tessa Thompson,Melissa Leo,Whoopi Goldberg,Drama,furlough,English,19.0,0.0,Tessa Thompson Melissa Leo Whoopi Goldberg Laurie Collyer Drama
46,Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Thriller Drama,josie,English,87.0,5.2,Sophie Turner Dylan McDermott Jack Kilmer Eric England Thriller Drama
47,Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Comedy Drama,flower,English,94.0,6.3,Zoey Deutch Kathryn Hahn Tim Heidecker Max Winkler Comedy Drama
48,Steven S. DeKnight,John Boyega,Scott Eastwood,Jing Tian,Action Fantasy Science Fiction Adventure,pacific rim uprising,English,111.0,6.1,John Boyega Scott Eastwood Jing Tian Steven S. DeKnight Action Fantasy Science Fiction Adventure
49,Wes Anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Adventure Comedy Animation,isle of dogs,English,101.0,7.8,Bryan Cranston Koyu Rankin Edward Norton Wes Anderson Adventure Comedy Animation
50,John Stevenson,James McAvoy,Emily Blunt,Chiwetel Ejiofor,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes,English,86.0,5.8,James McAvoy Emily Blunt Chiwetel Ejiofor John Stevenson Animation Family Fantasy Comedy Adventure Mystery
51,Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane,English,98.0,6.3,Claire Foy Joshua Leonard Jay Pharoah Steven Soderbergh Horror Thriller
52,Andrew Hyatt,Jim Caviezel,Olivier Martinez,James Faulkner,Drama,"paul, apostle of christ",English,108.0,7.6,Jim Caviezel Olivier Martinez James Faulkner Andrew Hyatt Drama
53,Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,History Drama,final portrait,English,87.0,6.0,Geoffrey Rush Armie Hammer Clémence Poésy Stanley Tucci History Drama
54,Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun,English,92.0,7.8,Bella Thorne Patrick Schwarzenegger Rob Riggle Scott Speer Romance Drama
55,Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Adventure Action Science Fiction,ready player one,English,140.0,7.6,Tye Sheridan Olivia Cooke Ben Mendelsohn Steven Spielberg Adventure Action Science Fiction
56,Tyler Perry,Taraji P. Henson,Lyriq Bent,Crystle Stewart,Drama Thriller,acrimony,English,120.0,6.8,Taraji P. Henson Lyriq Bent Crystle Stewart Tyler Perry Drama Thriller
57,Michael Mason,David A. R. White,John Corbett,Shane Harper,Drama,god's not dead: a light in darkness,English,105.0,6.6,David A. R. White John Corbett Shane Harper Michael Mason Drama
58,Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee,Mystery Crime Drama Thriller,gemini,English,93.0,5.4,Lola Kirke Zoë Kravitz Greta Lee Aaron Katz Mystery Crime Drama Thriller
59,Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Drama,the last movie star,English,104.0,6.5,Burt Reynolds Ariel Winter Clark Duke Adam Rifkin Drama
60,John Krasinski,Emily Blunt,John Krasinski,Millicent Simmonds,Horror Drama Science Fiction,a quiet place,English,91.0,7.4,Emily Blunt John Krasinski Millicent Simmonds John Krasinski Horror Drama Science Fiction
61,Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Comedy,blockers,English,102.0,6.3,Leslie Mann Ike Barinholtz John Cena Kay Cannon Comedy
62,Lynne Ramsay,Joaquin Phoenix,Judith Roberts,Ekaterina Samsonov,Crime Drama Thriller,you were never really here,English,89.0,6.5,Joaquin Phoenix Judith Roberts Ekaterina Samsonov Lynne Ramsay Crime Drama Thriller
63,John Curran,Jason Clarke,Kate Mara,Ed Helms,History Drama Thriller,chappaquiddick,English,107.0,6.1,Jason Clarke Kate Mara Ed Helms John Curran History Drama Thriller
64,Sean McNamara,Erin Moriarty,Helen Hunt,William Hurt,Drama,the miracle season,English,100.0,7.2,Erin Moriarty Helen Hunt William Hurt Sean McNamara Drama
65,Barry Levinson,Al Pacino,Riley Keough,Kathy Baker,Drama TV Movie,paterno,English,105.0,6.2,Al Pacino Riley Keough Kathy Baker Barry Levinson Drama TV Movie
66,Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Action Thriller Drama,beirut,English,109.0,6.3,Jon Hamm Rosamund Pike Dean Norris Brad Anderson Action Thriller Drama
67,Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman,Action Adventure Science Fiction,rampage,English,107.0,6.4,Dwayne Johnson Naomie Harris Malin Åkerman Brad Peyton Action Adventure Science Fiction
68,Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Thriller Horror,truth or dare,English,101.0,5.9,Lucy Hale Tyler Posey Violett Beane Jeff Wadlow Thriller Horror
69,Chloé Zhao,Brady Jandreau,Lilly Jandreau,Tim Jandreau,Drama Western,the rider,English,103.0,7.3,Brady Jandreau Lilly Jandreau Tim Jandreau Chloé Zhao Drama Western
70,Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero,English,85.0,7.9,Logan Lerman Helena Bonham Carter Gérard Depardieu Richard Lanni Animation Adventure Family History War
71,Emilio Insolera,Emilio Insolera,Carola Insolera,Ben Bahan,Science Fiction Adventure,sign gene,English,70.0,7.2,Emilio Insolera Carola Insolera Ben Bahan Emilio Insolera Science Fiction Adventure
72,"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Rory Scovel,Comedy Romance,i feel pretty,English,110.0,6.4,"Amy Schumer Michelle Williams Rory Scovel Abby Kohn, Marc Silverstein Comedy Romance"
73,Jay Chandrasekhar,Jay Chandrasekhar,Kevin Heffernan,Steve Lemme,Comedy Crime Mystery,super troopers 2,English,99.0,5.9,Jay Chandrasekhar Kevin Heffernan Steve Lemme Jay Chandrasekhar Comedy Crime Mystery
74,Deon Taylor,Paula Patton,Omar Epps,Laz Alonso,Thriller Action,traffik,English,96.0,6.1,Paula Patton Omar Epps Laz Alonso Deon Taylor Thriller Action
75,Peter Livolsi,Ellen Burstyn,Nick Offerman,Asa Butterfield,Drama Comedy,the house of tomorrow,English,85.0,6.8,Ellen Burstyn Nick Offerman Asa Butterfield Peter Livolsi Drama Comedy
76,Russo brothers,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war,English,149.0,8.2,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Russo brothers Adventure Action Science Fiction
77,Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Drama Romance,disobedience,English,114.0,6.9,Rachel Weisz Rachel McAdams Alessandro Nivola Sebastián Lelio Drama Romance
78,Per Fly,Theo James,Ben Kingsley,Belçim Bilgin,Thriller Drama History,backstabbing for beginners,English,108.0,6.2,Theo James Ben Kingsley Belçim Bilgin Per Fly Thriller Drama History
79,Deniz Gamze Ergüven,Halle Berry,Daniel Craig,unknown,Romance Drama Crime,kings,English,92.0,5.6,Halle Berry Daniel Craig unknown Deniz Gamze Ergüven Romance Drama Crime
80,Rob Greenberg,Eugenio Derbez,Anna Faris,Eva Longoria,Romance Comedy,overboard,English,112.0,6.6,Eugenio Derbez Anna Faris Eva Longoria Rob Greenberg Romance Comedy
81,Jason Reitman,Charlize Theron,Mackenzie Davis,Ron Livingston,Comedy Drama,tully,English,95.0,6.8,Charlize Theron Mackenzie Davis Ron Livingston Jason Reitman Comedy Drama
82,Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Thriller Crime Horror Drama,bad samaritan,English,111.0,6.7,David Tennant Robert Sheehan Carlito Olivero Dean Devlin Thriller Crime Horror Drama
83,Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Drama Comedy Fantasy Horror,the cleanse,English,81.0,5.1,Johnny Galecki Anna Friel Oliver Platt Bobby Miller Drama Comedy Fantasy Horror
84,Betsy West,Betsy West (director); Julie Cohen (director); Ruth Bader Ginsburg; Jane Ginsburg; James Steven Ginsburg; Nina Totenberg; Gloria Steinem,unknown,unknown,Documentary,rbg,English,98.0,7.5,Betsy West (director); Julie Cohen (director); Ruth Bader Ginsburg; Jane Ginsburg; James Steven Ginsburg; Nina Totenberg; Gloria Steinem unknown unknown Betsy West Documentary
